root	gloss_fil	pos	source
lapu-lapu		noun	Samson p405 [unknown/low]
lapurit		adjective	Samson p405 [unknown/low]
laput		noun	Samson p405 [dictionary_explicit/high]
lara		N	PALI:la’raq
laram		N	PALI:lara’m
larangan		noun	Samson p405 [unknown/low]
larauan		noun	Samson p405 [unknown/low]
larawan		N	PALI:lara’wan
lare		D	PALI:-lare’
larga		V	PALI:larga
larin			Samson p405 [dictionary_explicit/high]
laris		noun	Samson p406 [unknown/low]
larit		noun	Samson p406 [unknown/low]
laru		N	PALI:laruq
larut			Samson p406 [unknown/low]
lasa		N	PALI:la’sa
lasac		adjective	Samson p406 [dictionary_explicit/high]
lasak-		V	PALI:lasa’k-
lasalasa			Samson p406 [unknown/low]
lasebu		D	PALI:-lase’bu
lasenggu		N	PALI:lase’nggu
lasetas		N	PALI:lase’tas
lasi			Samson p407 [dictionary_explicit/high]
lasing		noun	Samson p407 [dictionary_explicit/high]
lasip		adjective	Samson p407 [unknown/low]
laslas			Samson p407 [dictionary_explicit/high]
laso		D	PALI:laso’
lastud			Samson p407 [unknown/low]
lasu		N	PALI:la’suq
lasubas			Samson p407 [dictionary_explicit/high]
lasuc		adjective	Samson p407 [unknown/low]
lasun		N	PALI:lasu’n
lasuna			Samson p407 [unknown/low]
lasung		noun	Samson p407 [unknown/low]
lasut		adjective	Samson p408 [unknown/low]
lata		N	PALI:la’ta
latac			Samson p408 [dictionary_explicit/high]
latag		noun	Samson p408 [unknown/low]
latang		adjective	Samson p408 [dictionary_explicit/high]
late			Samson p408 [dictionary_explicit/high]
latero			Samson p408 [unknown/low]
lati		D	PALI:-lati’q
latiat		noun	Samson p408 [dictionary_explicit/high]
latic		noun	Samson p409 [dictionary_explicit/high]
latik		N	PALI:lati’k
latiku			Samson p409 [unknown/low]
latim		adjective	Samson p409 [unknown/low]
latino		noun	Samson p409 [unknown/low]
latlat		verb	Samson p409 [unknown/low]
lato			Samson p409 [unknown/low]
latondan		noun	Samson p409 [unknown/low]
latuat			Samson p409 [unknown/low]
latud		adjective	Samson p409 [unknown/low]
latundan		N	PALI:latu’ndan
latus			Samson p409 [unknown/low]
lau		noun	Samson p409 [unknown/low]
lauas		noun	Samson p409 [dictionary_explicit/high]
lauayan		noun	Samson p409 [unknown/low]
lauc		adjective	Samson p409 [dictionary_explicit/high]
laud		noun	Samson p409 [unknown/low]
laue			Samson p410 [dictionary_explicit/high]
laug		noun (OCR: printed as 'ft.')	Samson p410 [dictionary_explicit/high]
laui		noun (OCR: printed as 'ft.')	Samson p410 [unknown/low]
lauing		noun-verb	Samson p410 [unknown/low]
lauis			Samson p410 [dictionary_explicit/high]
lauit		noun	Samson p410 [dictionary_explicit/high]
lauiui		noun (OCR: printed as 'ft.')	Samson p410 [unknown/low]
laurel			Mirikitani p934 [unknown/low]
laus		adjective	Samson p410 [dictionary_explicit/high]
lawas		N	PALI:la’was
lawe		V	PALI:-la’we
lawun			PALI:lawu’n
lawut			PALI:la’wut
laya		N	PALI:la’ya
layag		V	PALI:la’yag
layit		kalait ‘hook’	PALI:la’yit
layo		adjective	Samson p412 [unknown/low]
laypan		N	PALI:laypan
layug		adjective	Samson p412 [dictionary_explicit/high]
layunan		N	PALI:layunan
lecheflan		noun	Samson p412 [unknown/low]
lechekonhielo			Samson p412 [unknown/low]
lechon		noun	Samson p412 [dictionary_explicit/high]
lechugas		noun	Samson p412 [dictionary_explicit/high]
led			Samson p381 [dictionary_explicit/high]
legal		adjective	Samson p413 [unknown/low]
legayan		N	PALI:legayan
legwas		N	PALI:le’gwas
lehislasion		noun (OCR: printed as 'ft.')	Samson p413 [unknown/low]
lehislativo		adjective	Samson p413 [unknown/low]
lehislatura		noun	Samson p413 [unknown/low]
lehitimadu		adjective	Samson p413 [unknown/low]
lehitimo		adjective	Samson p413 [unknown/low]
lei		noun (OCR: printed as 'ft.')	Samson p413 [unknown/low]
lelangan		noun	Samson p413 [unknown/low]
lele		N	PALI:lele
lelut		N	PALI:le’lut
lelut-		N	PALI:le’lut-
lengguahe		noun	Samson p413 [dictionary_explicit/high]
lenggwae		N	PALI:lenggwa’e
lenteha		noun (OCR: printed as 'ft.')	Samson p413 [unknown/low]
lentehuelas			Samson p413 [unknown/low]
lenti			Samson p413 [unknown/low]
lentiles			Samson p413 [unknown/low]
lenun		adjective	Samson p413 [unknown/low]
leon		noun (OCR: printed as 'ft.')	Samson p413 [unknown/low]
lepra			Samson p413 [unknown/low]
leproso			Samson p413 [dictionary_explicit/high]
lesubas		transitive verb	Samson p413 [unknown/low]
leting		noun	Samson p413 [unknown/low]
letra		noun (OCR: printed as 'ft.')	Samson p413 [unknown/low]
letratu		N	PALI:letra’tu
ley		noun	Samson p414 [unknown/low]
leyenda		noun	Samson p414 [unknown/low]
lia		noun	Samson p414 [unknown/low]
liamado		noun	Samson p414 [unknown/low]
liba		noun (OCR: printed as 'ft.')	Samson p415 [dictionary_explicit/high]
libad		N	PALI:li’bad
libadbad			Samson p415 [unknown/low]
libag			Samson p415 [unknown/low]
libakan			Samson p415 [dictionary_explicit/high]
libang		V	PALI:liba’ng
libango		noun (OCR: printed as 'ft.')	Samson p415 [unknown/low]
libasbas		noun (OCR: printed as 'ft.')	Samson p415 [unknown/low]
libato		noun (OCR: printed as 'ft.')	Samson p415 [unknown/low]
libatu		D	PALI:libatu’
libe		adjective	Samson p415 [dictionary_explicit/high]
liberal		adjective	Samson p416 [unknown/low]
liberasion		noun (OCR: printed as 'ft.')	Samson p416 [unknown/low]
libi		D	PALI:-libi’
libluban		N	PALI:liblu’ban
libo			Mirikitani p934 [unknown/low]
libru		N	PALI:libru’
libu		N	PALI:li’bu
libut		V	PALI:li’but
libutad		St	PALI:libu’tad
lider		N	PALI:li’der
lidie			Samson p417 [dictionary_explicit/high]
lieu		noun	Samson p418 [dictionary_explicit/high]
liga		V	PALI:ligaq
ligalig		noun (OCR: printed as 'ft.')	Samson p419 [unknown/low]
ligamgam		noun-verb	Samson p419 [unknown/low]
ligat		D	PALI:ligat
ligata		noun (OCR: printed as 'ft.')	Samson p419 [unknown/low]
ligatgat		adjective	Samson p419 [unknown/low]
ligatu			Samson p419 [unknown/low]
ligaya		noun	Samson p419 [unknown/low]
ligid		V	PALI:li’gid
liglig			Samson p419 [dictionary_explicit/high]
ligligan		N	PALI:ligli’gan
ligo			Samson p419 [dictionary_explicit/high]
ligpit		V	PALI:-ligpi’t
ligtas		D	PALI:-ligtas
ligu		V	PALI:li’guq
ligua			Samson p420 [unknown/low]
ligwa			Mirikitani p935 [unknown/low]
ligwat		N	PALI:-ligwat
lihia			Samson p420 [unknown/low]
lihim		noun	Samson p420 [unknown/low]
liholiho		adverb	Samson p420 [dictionary_explicit/high]
likas		V	PALI:li’kas
likauc			Samson p417 [unknown/low]
likid			Samson p420 [dictionary_explicit/high]
likiranan			Samson p420 [unknown/low]
likit		adjective	Samson p420 [unknown/low]
liksi		D	PALI:-liksi’q
likut		D	PALI:-liku’t
lila		noun	Samson p420 [unknown/low]
lilas		adjective	Samson p420 [dictionary_explicit/high]
lili			Samson p420 [dictionary_explicit/high]
lilibi			Samson p416 [unknown/low]
lilip		noun	Samson p421 [dictionary_explicit/high]
liliua			Samson p421 [dictionary_explicit/high]
lilo		adjective	Samson p421 [dictionary_explicit/high]
lilu			Samson p421 [dictionary_explicit/high]
liluc		noun	Samson p421 [dictionary_explicit/high]
lilung			Samson p421 [dictionary_explicit/high]
lilyu		D	PALI:-lilyu
lima		Nu	PALI:lima’
limadmad		noun	Samson p421 [unknown/low]
limama		noun	Samson p421 [unknown/low]
limang		noun (OCR: printed as 'ft.')	Samson p422 [unknown/low]
limas		noun (OCR: printed as 'ft.')	Samson p422 [dictionary_explicit/high]
limatac		noun (OCR: printed as 'ft.')	Samson p422 [unknown/low]
limayon		adjective	Samson p422 [unknown/low]
limbad		noun-verb	Samson p422 [dictionary_explicit/high]
limbadlimbad			Samson p422 [unknown/low]
limbag		D./St	PALI:limba’g
limbato		noun-verb	Samson p422 [unknown/low]
limbayong		adjective	Samson p422 [unknown/low]
limbo		noun (OCR: printed as 'ft.')	Samson p422 [unknown/low]
limbonis			Samson p422 [unknown/low]
limbuad			Samson p422 [unknown/low]
limbun		N	PALI:li’mbun
lime		noun-verb	Samson p422 [dictionary_explicit/high]
limid			Samson p422 [dictionary_explicit/high]
limiran			Samson p423 [unknown/low]
limit		noun	Samson p423 [dictionary_explicit/high]
limitado		adjective	Samson p423 [unknown/low]
limon		noun	Samson p423 [unknown/low]
limonada		noun	Samson p423 [unknown/low]
limpad			Samson p423 [unknown/low]
limpas		noun-verb	Samson p423 [dictionary_explicit/high]
limpasut		noun	Samson p423 [unknown/low]
limpat			Samson p423 [dictionary_explicit/high]
limpe		noun-verb	Samson p423 [unknown/low]
limpelimpe			Samson p423 [unknown/low]
limpi		noun-verb	Samson p423 [dictionary_explicit/high]
limpia			Samson p423 [dictionary_explicit/high]
limputan		noun	Samson p423 [unknown/low]
limuc		adjective	Samson p424 [unknown/low]
limus			Samson p424 [unknown/low]
limusina		noun	Samson p424 [unknown/low]
lina		N	PALI:li’na
linab		noun	Samson p424 [dictionary_explicit/high]
linablinab			Samson p424 [unknown/low]
linamnam		noun	Samson p424 [unknown/low]
linang		noun	Samson p424 [unknown/low]
linatnat		noun	Samson p424 [dictionary_explicit/high]
linaza		noun	Samson p424 [unknown/low]
lindas		noun-verb	Samson p424 [dictionary_explicit/high]
lindaslindas			Samson p424 [dictionary_explicit/high]
lindayug			Samson p424 [unknown/low]
lindo		noun	Samson p424 [dictionary_explicit/high]
ling-gaso			Samson p427 [dictionary_explicit/high]
lingal		noun-verb	Samson p426 [unknown/low]
lingao			Samson p426 [unknown/low]
lingap		noun	Samson p426 [unknown/low]
lingapngap			Samson p426 [unknown/low]
lingasngas		D	PALI:-lingasngas
lingat		noun-verb	Samson p426 [unknown/low]
linggotci		N	PALI:linggo’tci
linggu		N	PALI:li’nggu
linggweta		N	PALI:linggwe’ta
lingko		noun-verb	Samson p426 [unknown/low]
lingkud		noun-verb	Samson p426 [dictionary_explicit/high]
lingo		D	PALI:-lingo’
linguaye			Mirikitani p935 [unknown/low]
lininggasu			Samson p427 [dictionary_explicit/high]
liningus			Samson p427 [dictionary_explicit/high]
linis		V	PALI:li’nis
linlin			Samson p425 [dictionary_explicit/high]
lino		D	PALI:-lino
lintik		N	PALI:lintik
lintusan		D	PALI:lintu’san
lipac		noun	Samson p428 [unknown/low]
lipak		N	PALI:lipa’k
lipaktung		N	PALI:lipaktu’ng
lipalipase			Samson p428 [unknown/low]
lipang		noun-verb	Samson p428 [unknown/low]
liparac		noun-verb	Samson p428 [dictionary_explicit/high]
liparan		noun	Samson p428 [dictionary_explicit/high]
lipas		adjective	Samson p428 [unknown/low]
lipasag		V	PALI:lipasa’g
lipase		noun	Samson p428 [dictionary_explicit/high]
lipat		V	PALI:li’pat
lipatlipat			Samson p428 [unknown/low]
lipatpat		noun	Samson p428 [dictionary_explicit/high]
lipatu		noun	Samson p428 [dictionary_explicit/high]
lipia			Samson p429 [unknown/low]
liping		noun	Samson p429 [unknown/low]
lipit		adjective	Samson p429 [dictionary_explicit/high]
liplip		adjective	Samson p429 [dictionary_explicit/high]
lipo			Samson p429 [dictionary_explicit/high]
lipogdung		adjective	Samson p429 [dictionary_explicit/high]
lipolipo			Samson p429 [unknown/low]
lipsung		noun-verb	Samson p429 [unknown/low]
lipugdong			Samson p429 [unknown/low]
lipul			Samson p429 [dictionary_explicit/high]
lipunga		noun	Samson p429 [dictionary_explicit/high]
lipuro			Samson p429 [dictionary_explicit/high]
liput		noun-verb	Samson p429 [dictionary_explicit/high]
liputo			Samson p429 [unknown/low]
liriko		adjective	Samson p430 [dictionary_explicit/high]
lirio		noun (OCR: printed as 'ft.')	Samson p430 [unknown/low]
lisan			Samson p430 [dictionary_explicit/high]
lisang		D./St	PALI:-lisa’ng
lisangan		N	PALI:lisa’ngan
lisensia			Samson p417 [unknown/low]
lisensiadu			Samson p417 [unknown/low]
lisensya		N	PALI:lise’nsya
lisentiate			Samson p417 [unknown/low]
lisik		D	PALI:-lisi’k
lislis		V	PALI:lislis
lissia		noun-verb	Samson p430 [dictionary_explicit/high]
lista		noun (OCR: printed as 'ft.')	Samson p430 [unknown/low]
listahan		noun (OCR: printed as 'ft.')	Samson p430 [unknown/low]
listun			Samson p430 [unknown/low]
lisu			Samson p431 [dictionary_explicit/high]
lisud			Samson p431 [dictionary_explicit/high]
lisudlisud			Samson p431 [unknown/low]
lisunglisung			Samson p431 [unknown/low]
lisya		V	PALI:lisya’q
lisyun		N	PALI:lisyu’n
litab		noun	Samson p431 [unknown/low]
litac			Samson p431 [unknown/low]
litang		noun	Samson p431 [unknown/low]
litania		noun	Samson p431 [dictionary_explicit/high]
literario		adjective	Samson p431 [unknown/low]
literatura		noun	Samson p431 [unknown/low]
litic			Samson p431 [unknown/low]
litid		N	PALI:li’tid
lito-lito			Samson p431 [unknown/low]
litrato			Mirikitani p935 [unknown/low]
litro		noun	Samson p431 [unknown/low]
litru		N	PALI:li’tru
litsugas			Samson p431 [unknown/low]
litsun		N	PALI:litsu’n
litu			Samson p431 [unknown/low]
liturhia		noun	Samson p431 [dictionary_explicit/high]
liturhika		adjective	Samson p431 [unknown/low]
liu			Samson p432 [unknown/low]
liuag		noun	Samson p432 [dictionary_explicit/high]
liuas		noun-verb	Samson p432 [dictionary_explicit/high]
liud		noun	Samson p432 [unknown/low]
liwalu		N	PALI:liwalu’q
liwanag		D	PALI:-liwa’nag
liwas		V	PALI:li’was
liyas		N	PALI:liyas
loban		noun	Samson p433 [dictionary_explicit/high]
lobo			Samson p433 [unknown/low]
lobu		N	PALI:lo’bu
loko			Samson p433 [unknown/low]
lolo		V	PALI:-lo’lo
lolokuan			Samson p433 [unknown/low]
lololo			Samson p433 [unknown/low]
lombalomba		noun	Samson p433 [unknown/low]
lomo		noun	Samson p433 [unknown/low]
londres			Samson p433 [unknown/low]
longganiza		noun	Samson p433 [unknown/low]
loren		N	PALI:loren
lorgavista		noun	Samson p434 [dictionary_explicit/high]
losa		noun	Samson p434 [unknown/low]
losiang			Samson p434 [unknown/low]
losion		noun	Samson p433 [unknown/low]
lote		noun	Samson p434 [dictionary_explicit/high]
loteria		noun	Samson p434 [dictionary_explicit/high]
loti		N	PALI:loti
lotto			Samson p434 [unknown/low]
lua		N	PALI:lua’q
lual		noun	Samson p434 [dictionary_explicit/high]
luali			Samson p434 [unknown/low]
lualua			Samson p434 [unknown/low]
lub		N	PALI:lub
luba		adjective	Samson p435 [dictionary_explicit/high]
lubac		noun	Samson p435 [dictionary_explicit/high]
lubad		noun	Samson p436 [unknown/low]
lubag		adjective	Samson p436 [dictionary_explicit/high]
lubak		D	PALI:luba’k
lubas		D./St	PALI:luba’s
lubid		N	PALI:lu’bid
lubluban		N	PALI:lublu’ban
lubulobu		N	PALI:lubulo’bu
lubus-		N	PALI:lubu’s-
lubusan			PALI:lubu’san
luclac		noun	Samson p438 [unknown/low]
lucluc		noun-verb	Samson p438 [unknown/low]
lucman		noun	Samson p438 [unknown/low]
lucsu			Samson p438 [dictionary_explicit/high]
lucsung-lubid		noun	Samson p438 [unknown/low]
lucto			Samson p438 [unknown/low]
luctun		noun	Samson p438 [unknown/low]
lud			Samson p439 [dictionary_explicit/high]
luding		N	PALI:ludi’ng
lue		adjective	Samson p439 [unknown/low]
luego		adverb	Samson p439 [unknown/low]
luga		N	PALI:lu’gaq
lugal		N	PALI:luga’l
lugami			Samson p439 [unknown/low]
luganggang		noun	Samson p439 [unknown/low]
lugar			Mirikitani p936 [unknown/low]
lugaw		noun	Samson p439 [dictionary_explicit/high]
luge		adjective	Samson p439 [dictionary_explicit/high]
lugi			Samson p439 [dictionary_explicit/high]
lugit		noun	Samson p439 [unknown/low]
luglug			Samson p440 [dictionary_explicit/high]
lugma		noun (OCR: printed as 'ft.')	Samson p440 [unknown/low]
lugmoc		noun-verb	Samson p440 [dictionary_explicit/high]
lugmon		noun (OCR: printed as 'ft.')	Samson p440 [unknown/low]
lugpuc			Samson p440 [dictionary_explicit/high]
lugu		adjective	Samson p440 [dictionary_explicit/high]
lugud		noun (OCR: printed as 'ft.')	Samson p440 [dictionary_explicit/high]
luguran			Samson p440 [unknown/low]
luka		D	PALI:-lu’kaq
lukas		V	PALI:luka’s
lukluk		V	PALI:luklu’k
lukong		D	PALI:-luko’ng
luksu		V	PALI:luksu’q
lukub		V	PALI:luku’b
lukung		adjective	Samson p438 [dictionary_explicit/high]
lukup			Samson p439 [dictionary_explicit/high]
lukut		V	PALI:lukut
lula		N	PALI:lu’laq
lulam		D	PALI:lu’lam
lulsut		V	PALI:lulsu’t
lulu		N	PALI:lu’lu
lulud		D	PALI:lulu’d
lulugu			Samson p440 [dictionary_explicit/high]
lulun		V	PALI:lulun
lulung		noun-verb	Samson p442 [unknown/low]
lulut		D	PALI:lulu’t
luma		adjective	Samson p442 [unknown/low]
lumac		adjective	Samson p442 [dictionary_explicit/high]
lumba			Samson p442 [unknown/low]
lumbas			Samson p442 [unknown/low]
lumbe		V	PALI:lumbe’
lumbia		noun	Samson p442 [unknown/low]
lumbu		noun	Samson p442 [unknown/low]
lumbug		N	PALI:lumbug
lumbulumbu			Samson p442 [unknown/low]
lume		noun	Samson p443 [unknown/low]
lumeme			Samson p443 [unknown/low]
lumlum			Samson p443 [dictionary_explicit/high]
lumo		St./D./V	PALI:lumo’
lumpaui		noun-verb	Samson p443 [unknown/low]
lumpi			Samson p443 [unknown/low]
lumpu			Samson p443 [unknown/low]
lumpung			Samson p443 [dictionary_explicit/high]
lumput		V	PALI:lumput
lumud		St./V./D	PALI:lumud
lumut		noun	Samson p443 [unknown/low]
lun			Samson p443 [unknown/low]
luna		noun	Samson p444 [unknown/low]
lunacy			Samson p444 [unknown/low]
lunas		N	PALI:lu’nas
lundag		noun-verb	Samson p444 [unknown/low]
lundase		noun-verb	Samson p444 [dictionary_explicit/high]
lunde			Samson p444 [unknown/low]
lune		noun-verb	Samson p444 [unknown/low]
lunes		noun (OCR: printed as 'ft.')	Samson p444 [unknown/low]
luneta		noun (OCR: printed as 'ft.')	Samson p444 [dictionary_explicit/high]
lungga			Samson p444 [unknown/low]
lunggi		noun	Samson p444 [dictionary_explicit/high]
lungkit		verb	Samson p444 [unknown/low]
lungkut		N	PALI:lungku’t
lunglung		noun (OCR: printed as 'ft.')	Samson p444 [unknown/low]
lungsad			Samson p444 [dictionary_explicit/high]
lungub		V	PALI:lungu’b
lunis		N	PALI:lu’nis
lunsung		noun-verb	Samson p445 [unknown/low]
lunsut			Samson p445 [unknown/low]
lunte		noun	Samson p445 [unknown/low]
luntolunto			Samson p445 [unknown/low]
luntu		noun-verb	Samson p445 [dictionary_explicit/high]
lunu		noun	Samson p445 [unknown/low]
lunus		D./St./V	PALI:lu’nus
lupa		N	PALI:lu’pa
lupad			Samson p446 [dictionary_explicit/high]
lupakaya		adjective	Samson p446 [unknown/low]
lupas		adjective	Samson p446 [dictionary_explicit/high]
lupig		adjective	Samson p446 [dictionary_explicit/high]
luping		adjective	Samson p446 [dictionary_explicit/high]
lupisac		noun (OCR: printed as 'ft.')	Samson p447 [unknown/low]
lupisak		N	PALI:lupi’sak
lupit		D	PALI:lupi’t
lupung			Samson p447 [dictionary_explicit/high]
lura		noun	Samson p447 [dictionary_explicit/high]
lurang		noun	Samson p447 [unknown/low]
luru		noun	Samson p447 [unknown/low]
luruc			Samson p447 [dictionary_explicit/high]
lusac		adjective	Samson p447 [unknown/low]
luse		adjective	Samson p447 [dictionary_explicit/high]
luseluse			Samson p447 [unknown/low]
lusena		noun	Samson p438 [unknown/low]
lusero		noun	Samson p438 [unknown/low]
luses		noun	Samson p438 [dictionary_explicit/high]
lusia			Samson p438 [unknown/low]
lusifer		noun	Samson p438 [unknown/low]
luslus		D	PALI:luslus
lustful			Samson p416 [unknown/low]
lusting			Samson p416 [dictionary_explicit/high]
lusub			Samson p448 [dictionary_explicit/high]
lusuc		adverb	Samson p448 [dictionary_explicit/high]
lusung		noun-verb	Samson p448 [unknown/low]
lusut			Samson p448 [unknown/low]
lutac			Samson p448 [dictionary_explicit/high]
lutad		noun-verb	Samson p448 [unknown/low]
lutang		noun-verb	Samson p448 [dictionary_explicit/high]
lutas		V./St./D	PALI:lutas
luterano		noun	Samson p448 [unknown/low]
luti		noun	Samson p449 [unknown/low]
lutlut			Samson p449 [dictionary_explicit/high]
lutu		V	PALI:lu’tuq
lutung		D	PALI:-lutu’ng
lutus		noun	Samson p449 [dictionary_explicit/high]
luwalas		D	PALI:-luwa’las
luwid		V	PALI:luwid
luyus		N	PALI:lu’yus
luz		noun	Samson p449 [unknown/low]
luzbel		noun	Samson p449 [unknown/low]
lyu		D	PALI:-lyu’
m-			Mirikitani p937 [unknown/low]
ma			Samson p451 [unknown/low]
ma-			Mirikitani p937 [unknown/low]
mabasa			Mirikitani p906 [unknown/low]
mabayat			Mirikitani p907 [unknown/low]
maberde			Mirikitani p907 [unknown/low]
mabie			Mirikitani p907 [unknown/low]
mabilog			Mirikitani p909 [unknown/low]
mabnu		adverb	Samson p451 [unknown/low]
mabuluk			Mga Salita sa Iba't Ibang Dayalekto p1 [unknown/low]
madera		noun	Samson p452 [unknown/low]
madrasta		noun	Samson p452 [unknown/low]
madre		noun	Samson p452 [unknown/low]
madrekako			Samson p452 [unknown/low]
madrekaku		N	PALI:madreka’ku
madrid			Samson p452 [unknown/low]
madrina		noun	Samson p452 [unknown/low]
maestra			Samson p452 [unknown/low]
maestro			Samson p452 [unknown/low]
mag			Samson p452 [unknown/low]
mag-			Mirikitani p937 [unknown/low]
magaspung			Mirikitani p917 [unknown/low]
magiinis			Mirikitani p935 [unknown/low]
magkanu		Q	PALI:magka’nu
maglibutlybut			Mirikitani p935 [unknown/low]
magnifikat			Samson p454 [unknown/low]
magnitudo		noun	Samson p454 [unknown/low]
magnus		V	PALI:magnus
mago		noun	Samson p454 [unknown/low]
magtatabaku			Samson p454 [unknown/low]
magtu			Mirikitani p963 [unknown/low]
magun		adverb	Samson p454 [unknown/low]
mahadera			Samson p454 [unknown/low]
maharaha		noun	Samson p454 [unknown/low]
maharlika		adjective	Samson p454 [unknown/low]
maharnilad			Samson p454 [unknown/low]
mahestad		adjective	Samson p454 [unknown/low]
mahestoso		adjective	Samson p454 [unknown/low]
mahia		noun	Samson p454 [unknown/low]
mahigangga		noun	Samson p454 [unknown/low]
mahikero		noun	Samson p454 [unknown/low]
mahisterio		noun	Samson p454 [unknown/low]
mahistrado		noun	Samson p454 [unknown/low]
mahjong			Samson p454 [unknown/low]
mahoma		noun	Samson p454 [unknown/low]
mahometano		noun	Samson p455 [unknown/low]
mahuanghuang			Samson p455 [unknown/low]
mahuehue			Samson p455 [dictionary_explicit/high]
maibi			Samson p455 [unknown/low]
mailig			Mirikitani p920 [unknown/low]
main			Samson p455 [dictionary_explicit/high]
mais			Samson p455 [unknown/low]
maitines		N	PALI:maiti’nes
majong		N	PALI:majo’ng
maka-			Mirikitani p937 [unknown/low]
makaayos			Mirikitani p903 [unknown/low]
makabasa			Mirikitani p906 [unknown/low]
makabeo		noun	Samson p451 [unknown/low]
makabuhe		noun	Samson p451 [unknown/low]
makabuisit			Mirikitani p909 [unknown/low]
makadwa		D	PALI:makadwa’q
makagili			Mirikitani p918 [unknown/low]
makakayabe			Mirikitani p895 [unknown/low]
makalutu			Mirikitani p936 [unknown/low]
makananu		interrog	SEED-FUNC
makanian		adv	SEED-FUNC
makanini		adv	SEED-FUNC
makapalage			Mirikitani p933 [unknown/low]
makapanabala			Mirikitani p904 [unknown/low]
makaputut			Mirikitani p952 [unknown/low]
makasangkap			Mirikitani p955 [unknown/low]
makasaup			Mirikitani p955 [unknown/low]
maki			Samson p455 [unknown/low]
makiagnan			Mirikitani p896 [unknown/low]
makibat			Samson p455 [unknown/low]
makina		N	PALI:ma’kina
makinabang		N	PALI:makina’bang
makinaria			Samson p455 [unknown/low]
makinilya		N	PALI:makini’lya
makinis			Mirikitani p930 [unknown/low]
makinista		noun	Samson p455 [unknown/low]
makiramdam			Mirikitani p952 [unknown/low]
makisangkap			Mirikitani p954 [unknown/low]
makiua			Samson p455 [unknown/low]
maklak			Mga Salita sa Iba't Ibang Dayalekto p10 [unknown/low]
maklba			Mirikitani p923 [unknown/low]
maklpagsalita			Mirikitani p954 [unknown/low]
mako		V	PALI:mako’
makupa		N	PALI:maku’pa
makuyad			Mirikitani p932 [unknown/low]
mal		D	PALI:mal
mala		verb	Samson p456 [dictionary_explicit/high]
malabe		adverb	Samson p456 [unknown/low]
malabinutil			Samson p456 [dictionary_explicit/high]
malagu			Mirikitani p933 [unknown/low]
malakanan		noun	Samson p456 [dictionary_explicit/high]
malakias		noun	Samson p456 [unknown/low]
malamarine		noun	Samson p456 [unknown/low]
malambot			Mirikitani p934 [unknown/low]
malangi			Mirikitani p945 [unknown/low]
malangnis		adjective	Samson p456 [unknown/low]
malapit			Mirikitani p934 [unknown/low]
malaram			Mga Salita sa Iba't Ibang Dayalekto p10 [unknown/low]
malasa		adjective	Samson p457 [unknown/low]
malasakit		noun	Samson p457 [unknown/low]
malasebo		noun	Samson p457 [unknown/low]
malasia		noun	Samson p457 [unknown/low]
malasmas			Samson p457 [dictionary_explicit/high]
malatl			Mirikitani p934 [unknown/low]
malaus		V	PALI:mala’us
malay		noun	Samson p457 [unknown/low]
malayo		adjective	Samson p457 [unknown/low]
malaysia		noun	Samson p457 [unknown/low]
malda		N	PALI:ma’ldaq
maldision		noun	Samson p457 [unknown/low]
male		N	PALI:ma’le
male-tau			Samson p457 [unknown/low]
maleldo			Samson p457 [unknown/low]
maleldu		N	PALI:male’ldu
malemalayan			Samson p457 [unknown/low]
maleta		noun	Samson p457 [unknown/low]
maletin		noun	Samson p457 [unknown/low]
malgarit		N	PALI:malgari’t
mali		N	PALI:mali’q
maliari		adjective	Samson p458 [unknown/low]
maliasa		noun-verb	Samson p458 [dictionary_explicit/high]
maliban			Mirikitani p938 [unknown/low]
malibi			Samson p458 [unknown/low]
malicmata		noun	Samson p458 [unknown/low]
maliete		noun	Samson p458 [unknown/low]
maligno		noun	Samson p458 [unknown/low]
malignos		N	PALI:mali’gnos
maligwa			Mirikitani p935 [unknown/low]
malim		noun-verb	Samson p458 [unknown/low]
malingmingan		noun	Samson p458 [unknown/low]
malinis			Mirikitani p935 [unknown/low]
malisia		noun	Samson p458 [unknown/low]
malisioso		adjective	Samson p458 [unknown/low]
malisiousness			Samson p458 [unknown/low]
maliuag			Samson p458 [unknown/low]
malmal		verb	Samson p458 [dictionary_explicit/high]
malolos		noun	Samson p458 [unknown/low]
maltratado			Samson p458 [unknown/low]
maltrato		noun	Samson p458 [unknown/low]
maltratuan			Samson p458 [unknown/low]
malulut			Mirikitani p936 [unknown/low]
malutac		verb	Samson p458 [unknown/low]
malutu		adjective	Samson p459 [unknown/low]
malutub		noun	Samson p459 [unknown/low]
malva		noun	Samson p459 [unknown/low]
malvarosa		noun	Samson p459 [unknown/low]
malyari			Mirikitani p938 [unknown/low]
mama		N	PALI:ma’maq
mamablas		V	PALI:mamablas
mamala		N	PALI:ma:mala’q
mamalagwa			Mirikitani p933 [unknown/low]
mamalengke			Mirikitani p946 [unknown/low]
mamalis			Mirikitani p946 [unknown/low]
mamasyal			Mirikitani p947 [unknown/low]
mamialung			Mirikitani p948 [unknown/low]
mamirapal		V./D	PALI:ma:mira’pal
mamisali			Mirikitani p949 [unknown/low]
mamisita			Mirikitani p909 [unknown/low]
mamlancha			Mirikitani p950 [unknown/low]
mampit		V	PALI:mampi’t
mamuklat			Mirikitani p910 [unknown/low]
mamustura			Samson p459 [dictionary_explicit/high]
