surface,process,silver_gold_guess,plain@6080,plain@8192,plain@16384,morphbpe@6080,morphbpe@8192,morphbpe@16384,penalty-1@6080,penalty-1@8192,penalty-1@16384,penalty-2@6080,penalty-2@8192,penalty-2@16384,penalty-4@6080,penalty-4@8192,penalty-4@16384,penalty-8@6080,penalty-8@8192,penalty-8@16384,stochastic-p4-d0.1@6080,stochastic-p4-d0.1@8192,stochastic-p4-d0.1@16384,stochastic-p4-d0.2@6080,stochastic-p4-d0.2@8192,stochastic-p4-d0.2@16384,unigram-ablation@6080,correct_segmentation,best_version,notes
dinuku,infixation,d+in+uku,d+inu+ku,d+inu+ku,dinu+ku,d+inu+ku,d+inu+ku,dinu+ku,d+inu+ku,d+inu+ku,dinu+ku,d+inu+ku,d+inu+ku,dinu+ku,d+inu+ku,d+inu+ku,dinu+ku,d+inu+ku,d+inu+ku,dinu+ku,d+inu+ku,d+inu+ku,dinu+ku,d+inu+ku,d+inu+ku,dinu+ku,di+nu+ku,,,
minuli,infixation,m+in+uli,min+uli,minuli,minuli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,minuli,,,
tinabi,infixation,t+in+abi,tin+abi,tin+abi,tinabi,tin+abi,tin+abi,tinabi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,ti+na+bi,,,
dinukit,infixation,d+in+ukit,din+uk+it,din+ukit,dinukit,din+uk+it,din+ukit,din+ukit,d+in+uk+it,d+in+ukit,d+in+ukit,d+in+uk+it,d+in+ukit,d+in+ukit,d+inu+kit,d+inu+kit,dinu+kit,d+inu+kit,d+inu+kit,dinu+kit,d+in+uk+it,d+in+uk+it,d+in+ukit,d+in+uk+it,d+in+uk+it,d+in+ukit,di+nu+kit,,,
linabas,infixation,l+in+abas,lin+abas,lin+abas,linabas,lin+abas,lin+abas,lin+abas,l+in+abas,l+in+abas,l+in+abas,l+in+abas,l+in+abas,l+in+abas,l+in+a+bas,l+in+abas,l+in+abas,l+in+a+bas,l+in+abas,l+in+abas,l+in+a+bas,l+in+abas,l+in+abas,l+in+a+bas,l+in+abas,l+in+abas,linaba+s,,,
linakad,infixation,l+in+akad,lin+a+kad,lina+kad,linakad,lina+kad,lina+kad,lina+kad,lina+kad,lina+kad,lina+kad,lina+kad,lina+kad,lina+kad,l+in+akad,l+in+akad,l+in+akad,l+in+akad,l+in+akad,l+in+akad,l+in+aka+d,l+in+akad,l+in+akad,l+in+akad,l+in+akad,l+in+akad,li+na+kad,,,
linukluk,infixation,l+in+ukluk,lin+ukluk,linukluk,linukluk,lin+ukluk,lin+ukluk,lin+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,lin+ukluk,,,
minic,infixation,m+in+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,mini+c,,,
minukiat,infixation,m+in+ukiat,min+uki+at,min+ukiat,minukiat,min+uki+at,min+ukiat,minukiat,min+uki+at,min+ukiat,minukiat,min+uki+at,min+ukiat,minukiat,minu+kiat,minu+kiat,minukiat,min+uki+at,min+ukiat,minukiat,min+uki+at,min+uki+at,minukiat,minu+kiat,minu+kiat,minukiat,min+ukiat,,,
tinipa,infixation,t+in+ipa,tin+ipa,tinipa,tinipa,t+ini+pa,t+ini+pa,tini+pa,t+ini+pa,t+ini+pa,tini+pa,t+ini+pa,t+ini+pa,tini+pa,t+ini+pa,t+ini+pa,tini+pa,t+in+ipa,t+in+ipa,t+in+ipa,t+in+ipa,t+in+ipa,t+in+ipa,t+ini+pa,t+ini+pa,t+ini+pa,tini+pa,,,
lingap,infixation,l+in+gap,ling+ap,lingap,lingap,ling+ap,lingap,lingap,ling+ap,lingap,lingap,ling+ap,lingap,lingap,ling+ap,lingap,lingap,ling+ap,lingap,lingap,li+ng+ap,lingap,lingap,li+ng+ap,lingap,lingap,lingap,,,
mingat,infixation,m+in+gat,ming+at,ming+at,mingat,ming+at,mingat,mingat,m+ingat,mingat,mingat,m+ingat,mingat,mingat,m+ingat,mingat,mingat,m+ingat,mingat,mingat,mi+ng+at,mingat,mingat,mi+ng+at,ming+at,mingat,ming+at,,,
siniping,infixation,s+in+iping,sin+iping,sin+iping,sin+iping,sin+ip+ing,sin+ip+ing,sin+iping,s+in+ip+ing,s+inip+ing,s+inip+ing,s+in+ip+ing,s+in+ip+ing,s+in+iping,s+in+ip+ing,s+in+ip+ing,s+in+iping,s+in+i+ping,s+in+i+ping,sini+ping,s+in+i+pi+ng,s+in+i+pi+ng,s+in+ipi+ng,s+ini+pi+ng,sini+pi+ng,sini+pi+ng,s+ini+ping,,,
linipul,infixation,l+in+ipul,lin+ip+ul,lin+ip+ul,lin+ipul,lin+ip+ul,lin+ip+ul,lin+ipul,l+in+ip+ul,l+inip+ul,linip+ul,l+in+ip+ul,l+in+ip+ul,l+inip+ul,l+in+ip+ul,l+in+ip+ul,l+inip+ul,l+in+i+pul,l+in+i+pul,lini+pul,l+in+ip+ul,l+in+ip+ul,l+in+ip+ul,l+in+ip+ul,l+in+ip+ul,l+in+ip+ul,lin+i+pul,,,
sinira,infixation,s+in+ira,sin+ira,sin+ira,sinira,sin+ira,sin+ira,sinira,s+ini+ra,sini+ra,sinira,sini+ra,sini+ra,sinira,s+ini+ra,sini+ra,sinira,s+in+ira,s+in+ira,sinira,s+in+ira,s+in+ira,sinira,s+ini+ra,sini+ra,sinira,s+ini+ra,,,
sumiping,infixation,s+um+iping,sum+iping,sum+iping,sum+iping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+pi+ng,su+mi+pi+ng,su+mi+pi+ng,su+mi+pi+ng,su+mi+pi+ng,su+mi+pi+ng,su+mi+ping,,,
dumpa,infixation,d+um+pa,dum+pa,dum+pa,dum+pa,dum+pa,dum+pa,dum+pa,d+umpa,d+umpa,d+umpa,d+umpa,d+umpa,d+umpa,d+umpa,d+umpa,d+umpa,dum+pa,dum+pa,dum+pa,dum+pa,dum+pa,dum+pa,dum+pa,dum+pa,dum+pa,du+m+pa,,,
kumabsi,infixation,k+um+absi,ku+mab+si,ku+mab+si,kumab+si,ku+mab+si,ku+mab+si,kumab+si,ku+ma+b+si,kuma+b+si,kuma+b+si,ku+ma+b+si,kuma+b+si,kuma+bsi,ku+ma+b+si,ku+ma+b+si,kuma+bsi,ku+ma+b+si,kuma+b+si,kuma+bsi,ku+ma+b+si,kuma+b+si,kuma+bsi,ku+ma+b+si,ku+ma+b+si,kuma+bsi,ku+m+absi,,,
linaban,infixation,l+in+aban,lin+aban,lin+aban,linaban,lin+aban,lin+aban,lin+aban,l+in+aban,l+in+aban,l+in+aban,l+in+aban,l+in+aban,l+in+aban,l+in+a+ban,l+in+aban,l+in+aban,l+in+a+ban,l+in+aban,l+in+aban,l+in+aban,l+in+aban,l+in+aban,l+in+aban,l+in+aban,l+in+aban,linaba+n,,,
lumbe,infixation,lumbe,lum+be,lum+be,lumbe,lum+be,lum+be,lumbe,l+um+be,l+umbe,lumbe,l+um+be,l+umbe,lumbe,l+um+be,l+umbe,lumbe,lum+be,lum+be,lumbe,lum+be,lum+be,lumbe,lum+be,lum+be,lumbe,lum+be,,,
minyabi,infixation,m+in+yabi,min+ya+bi,min+ya+bi,minya+bi,min+ya+bi,min+ya+bi,minya+bi,min+ya+bi,min+ya+bi,minya+bi,min+ya+bi,min+ya+bi,minya+bi,min+ya+bi,min+ya+bi,minya+bi,min+ya+bi,min+ya+bi,minya+bi,min+ya+bi,min+ya+bi,minya+bi,min+ya+bi,min+ya+bi,min+ya+bi,min+ya+bi,,,
nining,infixation,n+in+ing,n+ining,n+ining,nining,nin+ing,nin+ing,nin+ing,n+ining,n+ining,n+ining,n+ining,n+ining,n+ining,n+ining,n+ining,n+ining,n+ining,n+ining,n+ining,nin+i+ng,nin+i+ng,nin+i+ng,n+ini+ng,n+ini+ng,nini+ng,ni+ning,,,
sumakup,infixation,s+um+akup,sum+akup,sum+akup,sum+akup,sum+akup,sum+akup,sum+akup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,suma+kup,sum+akup,,,
dumalan,infixation,d+um+alan,dum+alan,dum+alan,dumalan,dum+alan,dum+alan,dum+alan,d+um+alan,d+um+alan,d+um+alan,d+um+alan,d+um+alan,d+um+alan,d+um+alan,d+um+alan,d+um+alan,du+mal+an,du+mal+an,du+mal+an,du+mal+an,du+mal+an,du+mal+an,du+mal+an,du+mal+an,du+mal+an,du+malan,,,
kinaul,infixation,k+in+aul,k+ina+ul,k+ina+ul,kinaul,k+ina+ul,k+ina+ul,kina+ul,k+ina+ul,k+ina+ul,kina+ul,k+ina+ul,k+ina+ul,kina+ul,k+in+a+ul,k+in+aul,k+in+aul,k+in+a+ul,k+in+a+ul,k+in+aul,k+in+a+ul,k+in+aul,k+in+aul,k+in+a+ul,k+in+a+ul,k+in+aul,ki+na+ul,,,
maguing,prefixation,mag+uing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,,,
mabilug,prefixation,ma+bilug,mabilug,mabilug,mabilug,mab+ilug,mab+ilug,mab+ilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,mabilu+g,,,
manibat,prefixation,man+ibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,,,
makanian,prefixation,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,,,
marawak,prefixation,ma+rawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,m+arawak,,,
panaun,prefixation,pa+naun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,,,
matulid,prefixation,ma+tulid,matulid,matulid,matulid,mat+ulid,mat+ulid,mat+ulid,mat+ulid,mat+ulid,mat+ulid,mat+ulid,mat+ulid,mat+ulid,mat+ulid,mat+ulid,mat+ulid,mat+uli+d,mat+uli+d,matulid,mat+uli+d,mat+uli+d,mat+ulid,mat+uli+d,mat+uli+d,mat+uli+d,ma+tulid,,,
maragul,prefixation,ma+ragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,,,
meguing,prefixation,meg+uing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,megu+ing,,,
manatili,prefixation,man+atili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,,,
pasibayu,prefixation,pa+sibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,,,
marangle,prefixation,ma+rangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,,,
panalangin,prefixation,pan+alangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,,,
makananu,prefixation,maka+nanu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,,,
makanyan,prefixation,ma+kanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,,,
mangatua,prefixation,mang+atua,mang+atua,mangatua,mangatua,mangat+ua,mangatua,mangatua,mangat+ua,mangatua,mangatua,mangat+ua,mangatua,mangatua,mangat+ua,mangatua,mangatua,mangat+ua,mangatua,mangatua,mangat+ua,mangatua,mangatua,mangat+ua,mangatua,mangatua,mangatua,,,
malyari,prefixation,ma+lyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,,,
pitung,prefixation,pi+tung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,,,
pablasang,prefixation,pa+blasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasa+ng,,,
malyaring,prefixation,ma+lyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyari+ng,,,
maiguit,prefixation,ma+iguit,ma+iguit,maiguit,maiguit,ma+iguit,maiguit,maiguit,ma+iguit,maiguit,maiguit,ma+iguit,maiguit,maiguit,ma+iguit,maiguit,maiguit,ma+iguit,maiguit,maiguit,mai+guit,maiguit,maiguit,ma+iguit,maiguit,maiguit,m+aiguit,,,
magkang,prefixation,mag+kang,mag+kang,magkang,magkang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,,,
pasbul,prefixation,pa+sbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,,,
maniabi,prefixation,man+iabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,,,
pasalamat,prefixation,pa+salamat,pasalamat,pasalamat,pasalamat,pas+al+amat,pas+alamat,pas+alamat,pas+al+amat,pas+alamat,pas+alamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pasalamat,,,
mangan,prefixation,ma+ngan,mangan,mangan,mangan,mangan,mangan,mangan,mangan,mangan,mangan,mangan,mangan,mangan,mangan,mangan,mangan,mang+an,mangan,mangan,mangan,mangan,mangan,mangan,mangan,mangan,mangan,,,
pagamuamu,prefixation,pa+gamuamu,pag+amu+amu,pag+amuamu,pagamuamu,pag+amu+amu,pag+amuamu,pagamuamu,pag+amu+amu,pag+amuamu,pagamuamu,pag+amu+amu,pag+amuamu,pagamuamu,pag+amu+amu,pag+amuamu,pagamuamu,pag+amu+amu,pag+amuamu,pagamuamu,pag+amu+amu,pag+amu+amu,pagamuamu,pag+amu+amu,pag+amu+amu,pagamuamu,pa+gamuamu,,,
manaya,prefixation,ma+naya,manaya,manaya,manaya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,manaya,,,
marayu,prefixation,ma+rayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,,,
pangane,prefixation,pangane,pangan+e,pangan+e,pangane,pangan+e,pangan+e,pangane,pangan+e,pangan+e,pangane,pangan+e,pangan+e,pangane,pangan+e,pangan+e,pangane,pangan+e,pangan+e,pangane,pangan+e,pangan+e,pangane,pangan+e,pangan+e,pangane,panga+ne,,,
makapagmulala,prefixation,makapag+mulala,makapag+mulala,makapag+mulala,makapagmulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapagmulala,,,
malagu,prefixation,ma+lagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,ma+lagu,malagu,malagu,malagu,,,
malugud,prefixation,ma+lugud,malugud,malugud,malugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ug+ud,mal+ug+ud,mal+ugud,malu+gud,malu+gud,malu+gud,mal+u+gud,mal+u+gud,malu+gud,ma+lugud,,,
manalig,prefixation,man+alig,man+alig,man+alig,manalig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,manalig,,,
masikan,prefixation,ma+sikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,,,
paninap,prefixation,pan+inap,pan+inap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,,,
manakit,prefixation,man+akit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,,,
mangaragul,prefixation,mang+aragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,,,
menganak,prefixation,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,me+ngan+ak,mengan+ak,mengan+ak,meng+anak,,,
makapayan,prefixation,maka+payan,makap+ayan,makap+ayan,makapayan,maka+payan,maka+payan,makapayan,maka+payan,maka+payan,makapayan,maka+payan,maka+payan,makapayan,maka+payan,maka+payan,makapayan,maka+payan,maka+payan,makapayan,maka+payan,maka+payan,makapayan,maka+payan,maka+payan,makapayan,makapa+yan,,,
masanting,prefixation,ma+santing,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,,,
magsaya,prefixation,mag+saya,mag+saya,mag+saya,magsaya,mag+saya,magsaya,magsaya,mag+saya,magsaya,magsaya,mag+saya,magsaya,magsaya,mag+sa+ya,magsa+ya,magsaya,mag+sa+ya,magsa+ya,magsaya,mag+sa+ya,mag+sa+ya,magsaya,magsa+ya,magsa+ya,magsaya,mag+saya,,,
manintun,prefixation,man+intun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,,,
parang,prefixation,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,para+ng,,,
patutu,prefixation,pa+tutu,patutu,patutu,patutu,pat+utu,pat+utu,pat+utu,pat+utu,pat+utu,pat+utu,pat+utu,pat+utu,pat+utu,patu+tu,patu+tu,patutu,pat+utu,pat+utu,pat+utu,pat+utu,pat+utu,pat+utu,pat+utu,pat+utu,pat+utu,patutu,,,
malapit,prefixation,ma+lapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,,,
maligaya,prefixation,ma+ligaya,mal+igaya,mal+igaya,maligaya,mal+igaya,mal+igaya,maligaya,mal+igaya,mal+igaya,maligaya,mal+igaya,mal+igaya,maligaya,mal+igaya,mal+igaya,maligaya,m+aligaya,m+aligaya,maligaya,mali+gaya,mali+gaya,maligaya,mali+gaya,mali+gaya,maligaya,ma+ligaya,,,
menakit,prefixation,men+akit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,,,
matibe,prefixation,ma+tibe,matibe,matibe,matibe,mat+ibe,mat+ibe,mat+ibe,mat+ibe,mat+ibe,mat+ibe,mat+ibe,mat+ibe,mat+ibe,mat+ib+e,mat+ibe,mat+ibe,mati+be,mati+be,mati+be,mati+be,mati+be,mati+be,m+ati+be,m+ati+be,mati+be,matibe,,,
makatalakad,prefixation,maka+talakad,makatalakad,makatalakad,makatalakad,makat+alakad,makat+alakad,makat+alakad,makat+alakad,makat+alakad,makat+alakad,makat+alakad,makat+alakad,makat+alakad,maka+talakad,maka+talakad,maka+talakad,maka+talakad,maka+talakad,maka+talakad,maka+talakad,maka+talakad,maka+talakad,maka+talakad,maka+talakad,maka+talakad,makata+lakad,,,
makatua,prefixation,ma+katua,makatua,makatua,makatua,makat+ua,makat+ua,makat+ua,makat+ua,makat+ua,makat+ua,makat+ua,makat+ua,makat+ua,maka+tua,maka+tua,maka+tua,maka+tua,maka+tua,maka+tua,maka+tua,maka+tua,maka+tua,maka+tua,maka+tua,maka+tua,makatua,,,
makiramdam,prefixation,ma+kiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,makiramdam,m+akiramdam,,,
matula,prefixation,ma+tula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,matula,,,
miguising,prefixation,mig+uising,mig+u+ising,mig+u+ising,miguising,mig+u+ising,migu+ising,miguising,mig+u+ising,migu+ising,miguising,mig+u+ising,migu+ising,miguising,mi+gu+ising,mi+gu+ising,miguising,mi+gu+ising,mi+gu+ising,miguising,mi+gu+isi+ng,mi+gu+isi+ng,miguising,mi+gu+isi+ng,mi+gu+isi+ng,miguising,mi+gui+s+ing,,,
magsantung,prefixation,mag+santung,mag+sant+ung,mag+sant+ung,magsantung,mag+sant+ung,mag+santung,mag+santung,mag+sant+ung,mag+santung,mag+santung,mag+san+tung,mag+santung,mag+santung,mag+san+tung,mag+santung,mag+santung,mag+santung,mag+santung,mag+santung,mag+san+tung,mag+san+tung,mag+santung,mag+san+tung,mag+santung,mag+santung,mag+santung,,,
makananung,prefixation,maka+nanung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananung,makananu+ng,,,
matudtud,prefixation,ma+tudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtud,matudtu+d,,,
menibat,prefixation,men+ibat,menibat,menibat,menibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,men+ibat,menibat,,,
magdala,prefixation,mag+dala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,magdala,,,
malinis,prefixation,ma+linis,malinis,malinis,malinis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,mal+inis,ma+linis,,,
pilinan,prefixation,pi+linan,pil+inan,pil+inan,pilinan,pil+inan,pil+inan,pilinan,pil+inan,pil+inan,pilinan,pil+in+an,pil+in+an,pilinan,pil+in+an,pil+in+an,pilinan,pil+in+an,pil+in+an,pilinan,pil+in+an,pil+in+an,pilinan,pil+in+an,pil+in+an,pilinan,pi+lin+an,,,
