surface,process,tier,silver_gold,plain@6080,plain@8192,plain@16384,morphbpe@6080,morphbpe@8192,morphbpe@16384,penalty-1@6080,penalty-1@8192,penalty-1@16384,penalty-2@6080,penalty-2@8192,penalty-2@16384,penalty-4@6080,penalty-4@8192,penalty-4@16384,penalty-8@6080,penalty-8@8192,penalty-8@16384,stochastic-p4-d0.1@6080,stochastic-p4-d0.1@8192,stochastic-p4-d0.1@16384,stochastic-p4-d0.2@6080,stochastic-p4-d0.2@8192,stochastic-p4-d0.2@16384,unigram-ablation@6080
linian,infixation,B_moderate_silver,l+in+ian,lin+ian,lin+ian,lin+ian,lin+ian,lin+ian,lin+ian,l+in+ian,l+inian,l+inian,l+in+ian,l+inian,l+inian,l+in+ian,l+inian,l+inian,l+in+ian,l+inian,l+inian,l+in+ian,l+in+ian,l+inian,l+in+ian,l+in+ian,l+inian,lin+ian
pinatubu,infixation,B_moderate_silver,p+in+atubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+at+ubu,pin+atu+bu,pin+atu+bu,pin+atubu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+atu+bu,pin+a+tubu
tinuknang,infixation,A_strong_silver,t+in+uknang,tin+uknang,tin+uknang,tinuknang,tin+uknang,tin+uknang,tin+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,t+in+uknang,tinu+k+nang
sinag,infixation,B_moderate_silver,s+in+ag,sinag,sinag,sinag,sinag,sinag,sinag,sinag,sinag,sinag,sinag,sinag,sinag,s+in+ag,s+in+ag,sinag,s+in+ag,s+in+ag,sinag,s+in+ag,s+in+ag,sinag,s+in+ag,s+in+ag,sinag,sinag
tumakas,infixation,A_strong_silver,t+um+akas,tu+makas,tu+makas,tu+makas,tu+makas,tu+makas,tu+makas,tu+maka+s,tu+maka+s,tu+makas,tu+maka+s,tu+maka+s,tu+makas,tu+maka+s,tu+maka+s,tu+makas,tu+maka+s,tu+maka+s,tu+makas,tu+maka+s,tu+maka+s,tu+maka+s,tu+maka+s,tu+maka+s,tu+maka+s,tu+maka+s
dinuku,infixation,F_conflicts_with_reconciliation_evidence,d+in+uku,d+inu+ku,d+inu+ku,dinu+ku,d+inu+ku,d+inu+ku,dinu+ku,d+inu+ku,d+inu+ku,dinu+ku,d+inu+ku,d+inu+ku,dinu+ku,d+inu+ku,d+inu+ku,dinu+ku,d+inu+ku,d+inu+ku,dinu+ku,d+inu+ku,d+inu+ku,dinu+ku,d+inu+ku,d+inu+ku,dinu+ku,di+nu+ku
minuli,infixation,A_strong_silver,m+in+uli,min+uli,minuli,minuli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,min+uli,minuli
tinabi,infixation,F_conflicts_with_reconciliation_evidence,t+in+abi,tin+abi,tin+abi,tinabi,tin+abi,tin+abi,tinabi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,t+in+abi,ti+na+bi
dinukit,infixation,A_strong_silver,d+in+ukit,din+uk+it,din+ukit,dinukit,din+uk+it,din+ukit,din+ukit,d+in+uk+it,d+in+ukit,d+in+ukit,d+in+uk+it,d+in+ukit,d+in+ukit,d+inu+kit,d+inu+kit,dinu+kit,d+inu+kit,d+inu+kit,dinu+kit,d+in+uk+it,d+in+uk+it,d+in+ukit,d+in+uk+it,d+in+uk+it,d+in+ukit,di+nu+kit
linabas,infixation,A_strong_silver,l+in+abas,lin+abas,lin+abas,linabas,lin+abas,lin+abas,lin+abas,l+in+abas,l+in+abas,l+in+abas,l+in+abas,l+in+abas,l+in+abas,l+in+a+bas,l+in+abas,l+in+abas,l+in+a+bas,l+in+abas,l+in+abas,l+in+a+bas,l+in+abas,l+in+abas,l+in+a+bas,l+in+abas,l+in+abas,linaba+s
linakad,infixation,A_strong_silver,l+in+akad,lin+a+kad,lina+kad,linakad,lina+kad,lina+kad,lina+kad,lina+kad,lina+kad,lina+kad,lina+kad,lina+kad,lina+kad,l+in+akad,l+in+akad,l+in+akad,l+in+akad,l+in+akad,l+in+akad,l+in+aka+d,l+in+akad,l+in+akad,l+in+akad,l+in+akad,l+in+akad,li+na+kad
linukluk,infixation,A_strong_silver,l+in+ukluk,lin+ukluk,linukluk,linukluk,lin+ukluk,lin+ukluk,lin+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,l+in+ukluk,lin+ukluk
minic,infixation,B_moderate_silver,m+in+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,min+ic,mini+c
minukiat,infixation,B_moderate_silver,m+in+ukiat,min+uki+at,min+ukiat,minukiat,min+uki+at,min+ukiat,minukiat,min+uki+at,min+ukiat,minukiat,min+uki+at,min+ukiat,minukiat,minu+kiat,minu+kiat,minukiat,min+uki+at,min+ukiat,minukiat,min+uki+at,min+uki+at,minukiat,minu+kiat,minu+kiat,minukiat,min+ukiat
tinipa,infixation,A_strong_silver,t+in+ipa,tin+ipa,tinipa,tinipa,t+ini+pa,t+ini+pa,tini+pa,t+ini+pa,t+ini+pa,tini+pa,t+ini+pa,t+ini+pa,tini+pa,t+ini+pa,t+ini+pa,tini+pa,t+in+ipa,t+in+ipa,t+in+ipa,t+in+ipa,t+in+ipa,t+in+ipa,t+ini+pa,t+ini+pa,t+ini+pa,tini+pa
lingap,infixation,B_moderate_silver,l+in+gap,ling+ap,lingap,lingap,ling+ap,lingap,lingap,ling+ap,lingap,lingap,ling+ap,lingap,lingap,ling+ap,lingap,lingap,ling+ap,lingap,lingap,li+ng+ap,lingap,lingap,li+ng+ap,lingap,lingap,lingap
mingat,infixation,B_moderate_silver,m+in+gat,ming+at,ming+at,mingat,ming+at,mingat,mingat,m+ingat,mingat,mingat,m+ingat,mingat,mingat,m+ingat,mingat,mingat,m+ingat,mingat,mingat,mi+ng+at,mingat,mingat,mi+ng+at,ming+at,mingat,ming+at
siniping,infixation,A_strong_silver,s+in+iping,sin+iping,sin+iping,sin+iping,sin+ip+ing,sin+ip+ing,sin+iping,s+in+ip+ing,s+inip+ing,s+inip+ing,s+in+ip+ing,s+in+ip+ing,s+in+iping,s+in+ip+ing,s+in+ip+ing,s+in+iping,s+in+i+ping,s+in+i+ping,sini+ping,s+in+i+pi+ng,s+in+i+pi+ng,s+in+ipi+ng,s+ini+pi+ng,sini+pi+ng,sini+pi+ng,s+ini+ping
linipul,infixation,F_conflicts_with_reconciliation_evidence,l+in+ipul,lin+ip+ul,lin+ip+ul,lin+ipul,lin+ip+ul,lin+ip+ul,lin+ipul,l+in+ip+ul,l+inip+ul,linip+ul,l+in+ip+ul,l+in+ip+ul,l+inip+ul,l+in+ip+ul,l+in+ip+ul,l+inip+ul,l+in+i+pul,l+in+i+pul,lini+pul,l+in+ip+ul,l+in+ip+ul,l+in+ip+ul,l+in+ip+ul,l+in+ip+ul,l+in+ip+ul,lin+i+pul
sinira,infixation,F_conflicts_with_reconciliation_evidence,s+in+ira,sin+ira,sin+ira,sinira,sin+ira,sin+ira,sinira,s+ini+ra,sini+ra,sinira,sini+ra,sini+ra,sinira,s+ini+ra,sini+ra,sinira,s+in+ira,s+in+ira,sinira,s+in+ira,s+in+ira,sinira,s+ini+ra,sini+ra,sinira,s+ini+ra
sumiping,infixation,A_strong_silver,s+um+iping,sum+iping,sum+iping,sum+iping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+ping,su+mi+pi+ng,su+mi+pi+ng,su+mi+pi+ng,su+mi+pi+ng,su+mi+pi+ng,su+mi+pi+ng,su+mi+ping
dumpa,infixation,B_moderate_silver,d+um+pa,dum+pa,dum+pa,dum+pa,dum+pa,dum+pa,dum+pa,d+umpa,d+umpa,d+umpa,d+umpa,d+umpa,d+umpa,d+umpa,d+umpa,d+umpa,dum+pa,dum+pa,dum+pa,dum+pa,dum+pa,dum+pa,dum+pa,dum+pa,dum+pa,du+m+pa
kumabsi,infixation,B_moderate_silver,k+um+absi,ku+mab+si,ku+mab+si,kumab+si,ku+mab+si,ku+mab+si,kumab+si,ku+ma+b+si,kuma+b+si,kuma+b+si,ku+ma+b+si,kuma+b+si,kuma+bsi,ku+ma+b+si,ku+ma+b+si,kuma+bsi,ku+ma+b+si,kuma+b+si,kuma+bsi,ku+ma+b+si,kuma+b+si,kuma+bsi,ku+ma+b+si,ku+ma+b+si,kuma+bsi,ku+m+absi
linaban,infixation,A_strong_silver,l+in+aban,lin+aban,lin+aban,linaban,lin+aban,lin+aban,lin+aban,l+in+aban,l+in+aban,l+in+aban,l+in+aban,l+in+aban,l+in+aban,l+in+a+ban,l+in+aban,l+in+aban,l+in+a+ban,l+in+aban,l+in+aban,l+in+aban,l+in+aban,l+in+aban,l+in+aban,l+in+aban,l+in+aban,linaba+n
lumbe,infixation,F_conflicts_with_reconciliation_evidence,lumbe,lum+be,lum+be,lumbe,lum+be,lum+be,lumbe,l+um+be,l+umbe,lumbe,l+um+be,l+umbe,lumbe,l+um+be,l+umbe,lumbe,lum+be,lum+be,lumbe,lum+be,lum+be,lumbe,lum+be,lum+be,lumbe,lum+be
minyabi,infixation,B_moderate_silver,m+in+yabi,min+ya+bi,min+ya+bi,minya+bi,min+ya+bi,min+ya+bi,minya+bi,min+ya+bi,min+ya+bi,minya+bi,min+ya+bi,min+ya+bi,minya+bi,min+ya+bi,min+ya+bi,minya+bi,min+ya+bi,min+ya+bi,minya+bi,min+ya+bi,min+ya+bi,minya+bi,min+ya+bi,min+ya+bi,min+ya+bi,min+ya+bi
nining,infixation,A_strong_silver,n+in+ing,n+ining,n+ining,nining,nin+ing,nin+ing,nin+ing,n+ining,n+ining,n+ining,n+ining,n+ining,n+ining,n+ining,n+ining,n+ining,n+ining,n+ining,n+ining,nin+i+ng,nin+i+ng,nin+i+ng,n+ini+ng,n+ini+ng,nini+ng,ni+ning
sumakup,infixation,A_strong_silver,s+um+akup,sum+akup,sum+akup,sum+akup,sum+akup,sum+akup,sum+akup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,su+ma+kup,suma+kup,sum+akup
dumalan,infixation,A_strong_silver,d+um+alan,dum+alan,dum+alan,dumalan,dum+alan,dum+alan,dum+alan,d+um+alan,d+um+alan,d+um+alan,d+um+alan,d+um+alan,d+um+alan,d+um+alan,d+um+alan,d+um+alan,du+mal+an,du+mal+an,du+mal+an,du+mal+an,du+mal+an,du+mal+an,du+mal+an,du+mal+an,du+mal+an,du+malan
kinaul,infixation,A_strong_silver,k+in+aul,k+ina+ul,k+ina+ul,kinaul,k+ina+ul,k+ina+ul,kina+ul,k+ina+ul,k+ina+ul,kina+ul,k+ina+ul,k+ina+ul,kina+ul,k+in+a+ul,k+in+aul,k+in+aul,k+in+a+ul,k+in+a+ul,k+in+aul,k+in+a+ul,k+in+aul,k+in+aul,k+in+a+ul,k+in+a+ul,k+in+aul,ki+na+ul
maguing,prefixation,B_moderate_silver,mag+uing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing,maguing
mabilug,prefixation,A_strong_silver,ma+bilug,mabilug,mabilug,mabilug,mab+ilug,mab+ilug,mab+ilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,ma+bilug,mabilu+g
manibat,prefixation,A_strong_silver,man+ibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat,manibat
makanian,prefixation,F_conflicts_with_reconciliation_evidence,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian,makanian
marawak,prefixation,B_moderate_silver,ma+rawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,marawak,m+arawak
panaun,prefixation,A_strong_silver,pa+naun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun,panaun
matulid,prefixation,A_strong_silver,ma+tulid,matulid,matulid,matulid,mat+ulid,mat+ulid,mat+ulid,mat+ulid,mat+ulid,mat+ulid,mat+ulid,mat+ulid,mat+ulid,mat+ulid,mat+ulid,mat+ulid,mat+uli+d,mat+uli+d,matulid,mat+uli+d,mat+uli+d,mat+ulid,mat+uli+d,mat+uli+d,mat+uli+d,ma+tulid
maragul,prefixation,A_strong_silver,ma+ragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul,maragul
meguing,prefixation,B_moderate_silver,meg+uing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,meguing,megu+ing
manatili,prefixation,B_moderate_silver,man+atili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili,manatili
pasibayu,prefixation,B_moderate_silver,pa+sibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu,pasibayu
marangle,prefixation,B_moderate_silver,ma+rangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle,marangle
panalangin,prefixation,B_moderate_silver,pan+alangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin,panalangin
makananu,prefixation,A_strong_silver,maka+nanu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu,makananu
makanyan,prefixation,F_conflicts_with_reconciliation_evidence,ma+kanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan,makanyan
mangatua,prefixation,B_moderate_silver,mang+atua,mang+atua,mangatua,mangatua,mangat+ua,mangatua,mangatua,mangat+ua,mangatua,mangatua,mangat+ua,mangatua,mangatua,mangat+ua,mangatua,mangatua,mangat+ua,mangatua,mangatua,mangat+ua,mangatua,mangatua,mangat+ua,mangatua,mangatua,mangatua
malyari,prefixation,B_moderate_silver,ma+lyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari,malyari
pitung,prefixation,A_strong_silver,pi+tung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung,pitung
pablasang,prefixation,B_moderate_silver,pa+blasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasang,pablasa+ng
malyaring,prefixation,B_moderate_silver,ma+lyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyaring,malyari+ng
maiguit,prefixation,B_moderate_silver,ma+iguit,ma+iguit,maiguit,maiguit,ma+iguit,maiguit,maiguit,ma+iguit,maiguit,maiguit,ma+iguit,maiguit,maiguit,ma+iguit,maiguit,maiguit,ma+iguit,maiguit,maiguit,mai+guit,maiguit,maiguit,ma+iguit,maiguit,maiguit,m+aiguit
magkang,prefixation,A_strong_silver,mag+kang,mag+kang,magkang,magkang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang,mag+kang
pasbul,prefixation,B_moderate_silver,pa+sbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul,pasbul
maniabi,prefixation,B_moderate_silver,man+iabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi,maniabi
pasalamat,prefixation,A_strong_silver,pa+salamat,pasalamat,pasalamat,pasalamat,pas+al+amat,pas+alamat,pas+alamat,pas+al+amat,pas+alamat,pas+alamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pa+salamat,pasalamat
mangan,prefixation,A_strong_silver,ma+ngan,mangan,mangan,mangan,mangan,mangan,mangan,mangan,mangan,mangan,mangan,mangan,mangan,mangan,mangan,mangan,mang+an,mangan,mangan,mangan,mangan,mangan,mangan,mangan,mangan,mangan
pagamuamu,prefixation,B_moderate_silver,pa+gamuamu,pag+amu+amu,pag+amuamu,pagamuamu,pag+amu+amu,pag+amuamu,pagamuamu,pag+amu+amu,pag+amuamu,pagamuamu,pag+amu+amu,pag+amuamu,pagamuamu,pag+amu+amu,pag+amuamu,pagamuamu,pag+amu+amu,pag+amuamu,pagamuamu,pag+amu+amu,pag+amu+amu,pagamuamu,pag+amu+amu,pag+amu+amu,pagamuamu,pa+gamuamu
manaya,prefixation,A_strong_silver,ma+naya,manaya,manaya,manaya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,man+aya,manaya
marayu,prefixation,B_moderate_silver,ma+rayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu,marayu
pangane,prefixation,F_conflicts_with_reconciliation_evidence,pangane,pangan+e,pangan+e,pangane,pangan+e,pangan+e,pangane,pangan+e,pangan+e,pangane,pangan+e,pangan+e,pangane,pangan+e,pangan+e,pangane,pangan+e,pangan+e,pangane,pangan+e,pangan+e,pangane,pangan+e,pangan+e,pangane,panga+ne
makapagmulala,prefixation,A_strong_silver,makapag+mulala,makapag+mulala,makapag+mulala,makapagmulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapag+mulala,makapagmulala
malagu,prefixation,A_strong_silver,ma+lagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,malagu,ma+lagu,malagu,malagu,malagu
malugud,prefixation,A_strong_silver,ma+lugud,malugud,malugud,malugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ugud,mal+ug+ud,mal+ug+ud,mal+ugud,malu+gud,malu+gud,malu+gud,mal+u+gud,mal+u+gud,malu+gud,ma+lugud
manalig,prefixation,B_moderate_silver,man+alig,man+alig,man+alig,manalig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,man+alig,manalig
masikan,prefixation,A_strong_silver,ma+sikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan,masikan
paninap,prefixation,B_moderate_silver,pan+inap,pan+inap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap,paninap
manakit,prefixation,A_strong_silver,man+akit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit,manakit
mangaragul,prefixation,B_moderate_silver,mang+aragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul,mangaragul
menganak,prefixation,A_strong_silver,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,meng+anak,me+ngan+ak,mengan+ak,mengan+ak,meng+anak
makapayan,prefixation,B_moderate_silver,maka+payan,makap+ayan,makap+ayan,makapayan,maka+payan,maka+payan,makapayan,maka+payan,maka+payan,makapayan,maka+payan,maka+payan,makapayan,maka+payan,maka+payan,makapayan,maka+payan,maka+payan,makapayan,maka+payan,maka+payan,makapayan,maka+payan,maka+payan,makapayan,makapa+yan
masanting,prefixation,A_strong_silver,ma+santing,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting,masanting
magsaya,prefixation,A_strong_silver,mag+saya,mag+saya,mag+saya,magsaya,mag+saya,magsaya,magsaya,mag+saya,magsaya,magsaya,mag+saya,magsaya,magsaya,mag+sa+ya,magsa+ya,magsaya,mag+sa+ya,magsa+ya,magsaya,mag+sa+ya,mag+sa+ya,magsaya,magsa+ya,magsa+ya,magsaya,mag+saya
manintun,prefixation,A_strong_silver,man+intun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun,manintun
parang,prefixation,F_conflicts_with_reconciliation_evidence,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,parang,para+ng
patutu,prefixation,A_strong_silver,pa+tutu,patutu,patutu,patutu,pat+utu,pat+utu,pat+utu,pat+utu,pat+utu,pat+utu,pat+utu,pat+utu,pat+utu,patu+tu,patu+tu,patutu,pat+utu,pat+utu,pat+utu,pat+utu,pat+utu,pat+utu,pat+utu,pat+utu,pat+utu,patutu
malapit,prefixation,A_strong_silver,ma+lapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit,malapit
maligaya,prefixation,F_conflicts_with_reconciliation_evidence,ma+ligaya,mal+igaya,mal+igaya,maligaya,mal+igaya,mal+igaya,maligaya,mal+igaya,mal+igaya,maligaya,mal+igaya,mal+igaya,maligaya,mal+igaya,mal+igaya,maligaya,m+aligaya,m+aligaya,maligaya,mali+gaya,mali+gaya,maligaya,mali+gaya,mali+gaya,maligaya,ma+ligaya
menakit,prefixation,A_strong_silver,men+akit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit,menakit
matibe,prefixation,A_strong_silver,ma+tibe,matibe,matibe,matibe,mat+ibe,mat+ibe,mat+ibe,mat+ibe,mat+ibe,mat+ibe,mat+ibe,mat+ibe,mat+ibe,mat+ib+e,mat+ibe,mat+ibe,mati+be,mati+be,mati+be,mati+be,mati+be,mati+be,m+ati+be,m+ati+be,mati+be,matibe
makatalakad,prefixation,A_strong_silver,maka+talakad,makatalakad,makatalakad,makatalakad,makat+alakad,makat+alakad,makat+alakad,makat+alakad,makat+alakad,makat+alakad,makat+alakad,makat+alakad,makat+alakad,maka+talakad,maka+talakad,maka+talakad,maka+talakad,maka+talakad,maka+talakad,maka+talakad,maka+talakad,maka+talakad,maka+talakad,maka+talakad,maka+talakad,makata+lakad
makatua,prefixation,B_moderate_silver,ma+katua,makatua,makatua,makatua,makat+ua,makat+ua,makat+ua,makat+ua,makat+ua,makat+ua,makat+ua,makat+ua,makat+ua,maka+tua,maka+tua,maka+tua,maka+tua,maka+tua,maka+tua,maka+tua,maka+tua,maka+tua,maka+tua,maka+tua,maka+tua,makatua
